0	0	0	-1.6239412e-04	+1.6354050e-03	+3.9150581e-04	+8.3514508e-06	+3.8932675e-06	+1.8940675e-05	-8.1499910e-01	-1.1177110e+00	+8.3613580e-01	+2.0435820e+01	+3.0653650e+01	+2.7072780e+01	-2.4946878e-04	+2.2369148e-04	+4.5012528e-04	+9.4788292e-06	+1.0536261e-05	-1.9479948e-05	+7.8936630e-01	-9.4708610e-01	-2.2618040e-02	+3.0177450e+01	-2.9880090e+01	-3.8235480e+01	
1	0	0	-9.1392793e-04	-7.0159246e-04	-2.1354841e-04	+5.1287099e-06	+1.0626958e-05	+5.7424891e-06	-7.5603390e-01	-1.2690320e+00	-1.1026250e-01	+1.5058270e+01	+2.1208160e+01	+2.6405540e+01	+1.6581476e-04	-8.8250660e-04	+4.6295080e-04	+8.5610366e-06	+1.0634056e-05	+1.6887991e-05	+8.2399030e-01	-9.5526140e-01	-8.6551570e-01	+2.5890230e+01	-4.5633030e+01	-3.2492550e+01	
2	0	0	+3.4874350e-05	-1.4717368e-03	+6.0099591e-04	+5.2174000e-06	-1.9575129e-06	-1.2628989e-05	-6.3101950e-01	-1.1011330e+00	+1.4372440e+00	+1.2893750e+01	+9.5867200e+00	+1.8305120e+01	+1.2369226e-04	-3.6959476e-04	+5.5053377e-04	-1.3573843e-05	+1.2779167e-06	-6.5629327e-06	+8.3842340e-01	-8.5948650e-01	-5.0002400e-01	+1.7124600e+01	-3.0140760e+01	-3.6422890e+01	
3	0	0	+6.8826319e-04	+6.9591738e-04	+3.7698521e-04	+8.4868896e-06	+1.6661022e-05	+6.4159427e-06	-6.5836680e-01	-1.0766400e+00	+3.0174790e+00	+7.3943730e+00	+2.7442550e+01	+2.0572340e+01	+4.8111832e-04	-5.3357491e-04	+5.7750797e-04	+1.5802429e-05	-1.1717470e-05	-7.3325932e-06	+8.1058370e-01	-8.2514170e-01	+6.9273340e-01	+2.2266340e+01	-2.3640220e+01	-2.9608060e+01	
4	0	0	+1.4031177e-03	-5.3255612e-04	+9.7802630e-05	+9.0554366e-07	-1.1222912e-05	+5.8102774e-06	-6.1602060e-01	-1.2158210e+00	+5.3652500e+00	-9.2166110e-01	+2.8128500e+01	+2.0627410e+01	-7.4568792e-04	-5.5943581e-04	+5.6734644e-04	+1.7401659e-06	-2.3569314e-05	+5.0185210e-06	+8.6118320e-01	-9.4488690e-01	+2.1401550e+00	+5.0381070e+00	-5.1051040e+00	-2.6295090e+01	
5	0	0	+1.2753620e-03	-3.9884840e-04	+1.8507289e-04	+7.8215315e-06	+1.0473947e-05	-1.2153984e-05	-7.1042930e-01	-1.3005350e+00	+8.0432830e+00	-8.7482870e+00	+7.5140710e+01	+1.6832350e+01	+4.2494199e-04	+3.6838693e-04	+4.4306043e-04	-2.1027914e-05	+2.3368823e-05	+1.1182754e-05	+1.0889980e+00	-1.0486390e+00	+4.1723420e+00	+3.6756190e+00	+8.3330970e+00	-2.7521010e+01	
5	0	1	+1.8196179e-03	-1.4721090e-03	+5.3183972e-06	+7.4231118e-06	-8.1096512e-06	-1.8628423e-05	-6.7594380e-01	-1.2902580e+00	+7.9837350e+00	-9.4081290e+00	+6.9634710e+01	+1.6016140e+01	-6.3807338e-04	-3.0051911e-04	+1.0318965e-03	-3.5330581e-05	+5.0221401e-06	+5.9788801e-06	+9.8941580e-01	-1.2626710e+00	+3.9049630e+00	+5.3634930e+00	+9.9257750e+00	-2.4437110e+01	
6	0	0	+1.6829948e-03	-1.2482565e-03	+8.7366343e-04	-4.0890997e-08	+1.3653133e-05	-2.4705866e-05	-6.4820600e-01	-1.3537900e+00	+1.0222480e+01	-1.8507580e+01	+8.9794910e+01	+2.3628310e+01	-4.2105906e-04	-4.8765225e-04	+7.4122327e-04	-2.8208835e-05	+8.1413085e-06	+2.3750434e-05	+1.3223120e+00	-1.3443210e+00	+5.5381110e+00	+2.3409280e+01	-1.0229050e+01	-2.5341670e+01	
6	0	1	+1.2768488e-03	-2.7768050e-04	+1.6618127e-04	-6.5537957e-06	+1.0571520e-05	-2.6909853e-07	-5.7585840e-01	-1.5648490e+00	+9.8904360e+00	-1.6543640e+01	+8.8986600e+01	+2.7233200e+01	-5.5524307e-04	-1.3578685e-04	+8.2072873e-04	-5.0281003e-05	+2.4166522e-05	+3.0183632e-05	+1.2604370e+00	-1.5578780e+00	+5.3057090e+00	+2.0184550e+01	-5.0779440e+00	-2.7323190e+01	
6	0	2	+1.6492387e-03	-8.7457127e-04	+7.9096443e-04	+7.9552656e-06	+4.3381514e-06	-1.2344781e-05	-4.9843080e-01	-1.7606670e+00	+9.9267340e+00	-1.9181560e+01	+9.1625110e+01	+3.0510410e+01	+8.4200981e-06	-4.2268782e-04	+3.3850925e-04	-2.8451052e-05	+2.0539806e-05	+2.3708644e-05	+1.2498030e+00	-1.6895870e+00	+5.1000650e+00	+2.3469690e+01	-5.5209040e+00	-2.6322280e+01	
6	0	3	+6.5946884e-04	-1.2087595e-03	+1.0649165e-03	-1.6117326e-05	+7.2500491e-06	-1.8869266e-05	-5.1571190e-01	-1.9118690e+00	+9.6715110e+00	-1.0362140e+01	+9.2468720e+01	+3.0753790e+01	-1.0696263e-03	-1.2909403e-03	+5.4264882e-04	-1.2940093e-05	+1.8997376e-06	+1.7708981e-05	+1.2489300e+00	-1.7743620e+00	+4.7967260e+00	+2.7424730e+01	-9.9596950e+00	-2.8001690e+01	
6	0	4	+6.5606239e-04	-1.7708317e-03	+7.9345823e-04	+5.6963902e-06	+4.3879988e-06	-1.8804109e-05	-5.4185130e-01	-2.0577550e+00	+9.6100760e+00	-1.2011670e+01	+9.0713720e+01	+2.7744230e+01	+2.5172609e-04	-1.7394478e-03	+4.3031355e-04	-3.6455004e-05	+3.6334823e-05	+4.2471560e-05	+1.1908660e+00	-1.7737640e+00	+4.6774700e+00	+2.7946910e+01	-9.0944390e+00	-2.7390560e+01	
7	0	0	+1.2133682e-03	-7.4300802e-04	+1.7820366e-03	-7.3980001e-06	-2.1632633e-06	-1.2465308e-05	-4.0344980e-01	-1.9784050e+00	+1.2094800e+01	-1.4075190e+01	+9.6668460e+01	+2.5357210e+01	+9.8056911e-07	-7.1063363e-04	+5.3728850e-04	-4.3594122e-05	+1.4497918e-05	+3.6239411e-05	+1.3680050e+00	-1.5555940e+00	+7.2654980e+00	+2.3234020e+01	-3.5224690e+01	-2.9231320e+01	
7	0	1	+1.7007404e-03	-1.5732862e-03	+1.4494161e-03	-1.5062269e-05	+1.9948039e-05	-2.5087441e-05	-4.2784040e-01	-2.1665210e+00	+1.1875230e+01	-1.4087240e+01	+9.9756780e+01	+2.7405000e+01	-2.4595271e-04	-1.2987660e-03	+8.4080554e-04	-5.1188279e-05	-9.9844866e-07	+4.2734420e-05	+1.2597840e+00	-1.7003480e+00	+6.7196020e+00	+2.2232150e+01	-3.4812800e+01	-2.9801100e+01	
7	0	2	+1.0752923e-03	-2.7703008e-03	+1.0440083e-03	-3.1226054e-05	+7.9014020e-06	-7.7815749e-06	-3.7914320e-01	-2.3281740e+00	+1.1612080e+01	-4.7452420e+00	+9.7015060e+01	+2.8663480e+01	+3.9175248e-04	+1.5391292e-04	+8.3416478e-04	-5.1028708e-05	+1.1113638e-05	+1.2194374e-05	+1.2836450e+00	-1.6939020e+00	+6.6703680e+00	+2.0460490e+01	-3.1456570e+01	-2.9125910e+01	
7	0	3	+1.6746548e-03	-4.2230715e-03	+1.1378808e-03	-3.9162788e-05	+5.1215479e-06	-1.4588366e-05	-4.1974000e-01	-2.3023530e+00	+1.1642380e+01	-4.7471540e+00	+1.0037550e+02	+2.7949460e+01	+2.6388811e-04	-3.4306194e-03	+5.4269921e-04	-5.9711256e-05	-1.0621805e-05	+3.8054389e-05	+1.1656930e+00	-1.8652130e+00	+6.1528440e+00	+1.9925360e+01	-3.4187940e+01	-2.9978640e+01	
8	0	0	+1.1676295e-03	-3.9315287e-03	+1.4000245e-03	-4.7072352e-05	+3.3142450e-05	-2.0671693e-05	-4.7687360e-01	-2.0188200e+00	+1.5398230e+01	+1.2535890e+01	+1.1311650e+02	+2.0273170e+01	-8.9403848e-04	-3.4269722e-03	+1.5341628e-06	-8.0785845e-05	+1.1929422e-05	+2.6681078e-05	+1.2262400e+00	-1.5966910e+00	+8.1516270e+00	+2.5720930e+01	-2.2096050e+01	-3.1487900e+01	
8	0	1	+2.5129594e-03	-5.6444029e-03	+1.2393115e-03	-3.2775632e-05	+1.4507364e-05	-5.1314538e-05	-3.4331030e-01	-2.0202130e+00	+1.9605540e+01	+1.0238380e+01	+1.4005200e+02	+1.8631540e+01	+2.5446849e-04	-3.2448536e-03	+5.2380959e-04	-8.9421677e-05	-1.0410782e-05	+2.6907299e-05	+1.2493020e+00	-1.6393050e+00	+7.8551470e+00	+2.4434960e+01	-2.1738730e+01	-3.0226030e+01	
8	0	2	+2.3140711e-03	-6.3372828e-03	+2.3452364e-03	-2.6286397e-05	+1.7715324e-05	-5.7547310e-05	-2.4230670e-01	-2.1245640e+00	+2.3671710e+01	+1.5744860e+01	+1.6349920e+02	+1.7054220e+01	+1.2981123e-04	-3.0518347e-03	+7.1288886e-04	-8.9122455e-05	+8.5248271e-06	+3.2757262e-05	+1.2318500e+00	-1.6512220e+00	+7.4847960e+00	+2.6062450e+01	-2.3789400e+01	-3.0719550e+01	
9	0	0	+2.4936940e-03	-5.1704010e-03	+2.4226693e-03	-4.7241578e-05	+1.4236055e-05	-5.1284860e-05	-4.4902740e-01	-2.0405310e+00	+2.3834280e+01	+3.3071260e+01	+1.2643280e+02	+2.2290750e+01	-1.3956569e-04	-4.1273101e-03	+8.3053064e-04	-8.2046269e-05	-1.3305788e-05	+5.0988666e-05	+1.4679300e+00	-1.5741800e+00	+9.8155870e+00	+4.1605870e+01	-1.6157130e+01	-2.8214900e+01	
10	0	0	+2.9976489e-03	-5.4077552e-03	+2.3131526e-03	-2.3888709e-05	+4.2994417e-05	-3.9107859e-05	-6.9585210e-01	-2.2054190e+00	+2.5514680e+01	+5.6055750e+01	+1.2187180e+02	+2.5730140e+01	+4.9403053e-04	-3.4964298e-03	+7.3507089e-04	-7.4840841e-05	-4.2366669e-06	+4.4503355e-05	+1.5050280e+00	-1.5786070e+00	+1.1929160e+01	+5.1288800e+01	-1.8921990e+00	-3.2445010e+01	
10	0	1	+2.3317670e-03	-5.4075704e-03	+2.1218121e-03	-4.0368249e-05	+2.3674637e-05	-5.7348602e-05	-8.0026620e-01	-2.4105270e+00	+2.9054180e+01	+6.7143950e+01	+1.5424460e+02	+3.0365450e+01	+1.2855343e-04	-3.7853344e-03	+4.0928022e-04	-9.6836585e-05	+1.1820294e-05	+4.5258047e-05	+1.4894740e+00	-1.8813370e+00	+1.1332290e+01	+4.7392800e+01	-4.4874160e+00	-3.3135360e+01	
10	0	2	+2.6060930e-03	-5.7316130e-03	+2.6038318e-03	-3.2463338e-05	+4.5939856e-05	-5.1426549e-05	-6.2229230e-01	-2.6243810e+00	+3.2511520e+01	+8.3002730e+01	+1.7001500e+02	+3.0204890e+01	+3.7634475e-04	-3.5570485e-03	+1.0100479e-03	-9.6974916e-05	+1.8053987e-05	+5.1136975e-05	+1.4266300e+00	-1.9104710e+00	+1.4960680e+01	+3.8682600e+01	+2.4922460e+00	-3.0858040e+01	
10	0	3	+2.9993034e-03	-4.4294208e-03	+2.5827872e-03	-4.4996098e-05	+4.5934233e-05	-2.6930459e-05	-4.6174540e-01	-2.7725620e+00	+3.5869500e+01	+9.3020450e+01	+1.8893420e+02	+3.3004680e+01	+7.1647457e-05	-6.2000324e-03	+1.5130402e-03	-1.0511905e-04	-3.7371142e-06	+5.8652194e-05	+1.4320310e+00	-2.1001980e+00	+1.4778220e+01	+4.5821040e+01	-6.0398310e+00	-3.1347910e+01	
10	0	4	+2.4907014e-03	-5.5139283e-03	+3.6630084e-03	-3.9470107e-05	+7.4192286e-05	-4.5479015e-05	-8.1843150e-01	-3.0341520e+00	+3.8997430e+01	+9.8320080e+01	+1.9164980e+02	+3.3941290e+01	+1.1256471e-03	-4.5951692e-03	+1.4160925e-03	-1.1295477e-04	+5.3377847e-06	+5.2148065e-05	+1.4258860e+00	-2.1178680e+00	+1.4503670e+01	+4.5689390e+01	-4.0706930e+00	-3.0804560e+01	
11	0	0	+3.5072697e-03	-5.1525975e-03	+3.8699725e-03	-2.2688963e-05	+8.0657011e-05	-3.9067881e-05	-6.1135710e-01	-3.0612940e+00	+3.6526320e+01	+1.0281810e+02	+1.0874680e+02	+3.3135570e+01	+3.4025193e-04	-5.1079607e-03	+1.6026155e-03	-1.1233663e-04	+1.1906391e-05	+5.2363371e-05	+1.8266240e+00	-1.9696740e+00	+1.5620420e+01	+6.6613880e+01	-9.0066750e+00	-3.0420660e+01	
11	0	1	+3.2601850e-03	-5.4418290e-03	+4.3002596e-03	-8.2639937e-06	+6.8277543e-05	-3.2915248e-05	-6.0073590e-01	-3.0675120e+00	+3.6653710e+01	+1.0069370e+02	+1.1242200e+02	+3.3950540e+01	+3.1580752e-03	-6.7517536e-03	+1.3466642e-03	-1.0811028e-04	+1.4246342e-05	+1.0080046e-04	+2.2356760e+00	-1.9088270e+00	+1.5308800e+01	+6.3272380e+01	-1.9429790e+00	-3.3834210e+01	
12	0	0	+3.5584516e-03	-6.1728486e-03	+3.4274210e-03	-1.5712049e-05	+3.4133935e-05	-2.1234346e-05	-7.6737900e-01	-3.2103790e+00	+3.5826880e+01	+1.0231820e+02	+7.4543490e+01	+3.7530920e+01	+3.1365344e-03	-5.4289412e-03	+7.4157283e-04	-1.2264574e-04	+8.0549252e-06	+8.8643667e-05	+1.9638490e+00	-1.8364920e+00	+1.7167230e+01	+7.7472380e+01	+1.6880260e+01	-4.4258320e+01	
12	0	1	+2.9785047e-03	-5.8765228e-03	+4.3087236e-03	-2.3422766e-05	+4.3438595e-05	-1.5197426e-05	-7.7170690e-01	-3.1904580e+00	+4.0470580e+01	+1.0463800e+02	+1.0645000e+02	+3.3460350e+01	+3.1435176e-03	-5.6223317e-03	+1.2474382e-03	-1.0019151e-04	+1.0870115e-05	+7.6155422e-05	+2.0891090e+00	-1.9866250e+00	+2.0424990e+01	+6.7370550e+01	+3.1991080e+01	-4.2221940e+01	
12	0	2	+3.3054209e-03	-6.9794592e-03	+4.6086658e-03	-4.6621511e-05	+2.1463090e-05	-2.8021347e-05	-7.8257430e-01	-3.5081110e+00	+4.0449410e+01	+1.0566240e+02	+1.0694580e+02	+3.8205440e+01	+3.1440522e-03	-5.1140354e-03	+6.3344265e-04	-1.1484028e-04	+1.7215878e-05	+6.4381312e-05	+2.0142160e+00	-2.2216000e+00	+2.0089750e+01	+6.4586320e+01	+2.9543800e+01	-4.2571910e+01	
12	0	3	+3.7265440e-03	-9.0629909e-03	+4.2086854e-03	-4.8059196e-05	+2.1953337e-05	-4.1063604e-05	-8.1392580e-01	-3.4768280e+00	+4.0194690e+01	+1.0707080e+02	+1.0843330e+02	+3.9032430e+01	+2.5149933e-03	-8.4448068e-03	+1.4098547e-03	-1.4514588e-04	+1.7831654e-05	+8.4795813e-05	+2.2132920e+00	-2.3141890e+00	+2.2186050e+01	+7.1095520e+01	+7.2815570e+01	-4.1985200e+01	
13	0	0	+3.5012587e-03	-7.7738192e-03	+4.7336268e-03	-2.4117475e-05	+1.8979039e-05	-9.9847852e-06	-1.0095280e+00	-3.2820180e+00	+4.0237440e+01	+1.2604740e+02	+1.1088250e+02	+4.0162310e+01	+2.3116473e-03	-8.2067701e-03	+1.7948247e-03	-1.5969818e-04	+1.7918923e-05	+6.7219980e-05	+2.2719750e+00	-2.0940140e+00	+2.1797090e+01	+9.8224480e+01	+4.9845300e+01	-4.3627340e+01	
14	0	0	+3.9014438e-03	-6.8724388e-03	+4.3143749e-03	-3.7354729e-05	+1.8911292e-05	+2.2660167e-06	-1.1251790e+00	-3.3497710e+00	+4.1668730e+01	+1.2633110e+02	+1.1556470e+02	+3.3209490e+01	+3.9557043e-03	-6.1584196e-03	+1.7155988e-03	-1.3795031e-04	+2.6338793e-05	+4.1739779e-05	+2.3370650e+00	-2.1117860e+00	+2.1776360e+01	+1.1847160e+02	+4.7501890e+01	-4.8714950e+01	
14	0	1	+3.5404112e-03	-8.2446953e-03	+4.4332449e-03	-1.7340567e-05	+2.8409865e-05	-2.2180544e-05	-1.0410110e+00	-3.7039290e+00	+4.7034890e+01	+1.2402060e+02	+1.2466710e+02	+3.7161540e+01	+3.7424833e-03	-5.2033203e-03	+1.9135314e-03	-1.3743861e-04	+2.0016694e-05	+2.3374374e-05	+2.3794590e+00	-2.4265480e+00	+2.1358420e+01	+1.0847920e+02	+4.5053910e+01	-4.7961830e+01	
14	0	2	+3.2807035e-03	-8.3481852e-03	+5.6318495e-03	-3.2856286e-05	+1.5595237e-05	-2.8412340e-05	-1.1682950e+00	-3.6255160e+00	+5.2216850e+01	+1.2634890e+02	+1.2320370e+02	+3.1459440e+01	+3.4639846e-03	-9.2380675e-03	+1.8222682e-03	-1.1602777e-04	+1.6827144e-05	+4.2582705e-05	+2.2459760e+00	-2.7339230e+00	+2.0950650e+01	+1.1204710e+02	+4.2660320e+01	-4.5193560e+01	
15	0	0	+3.1076854e-03	-8.4084840e-03	+5.4071997e-03	-4.7776468e-05	+2.1929453e-05	-2.2664359e-05	-1.1455510e+00	-3.7453420e+00	+4.9876120e+01	+1.3305660e+02	+1.1535450e+02	+3.5850120e+01	+4.1374551e-03	-7.9129907e-03	+1.8103606e-03	-1.4604972e-04	+2.9498406e-05	+4.8793588e-05	+2.3637820e+00	-2.5217330e+00	+2.2054080e+01	+1.2846850e+02	+4.9927870e+01	-4.6020720e+01	
15	0	1	+3.6710427e-03	-9.2706262e-03	+5.3868119e-03	-7.7652818e-05	+9.4313395e-06	-2.9493693e-05	-1.1094890e+00	-3.9520220e+00	+5.4592020e+01	+1.2649800e+02	+1.1982350e+02	+3.5447120e+01	+3.2794845e-03	-8.7929106e-03	+2.0196990e-03	-1.0062777e-04	+2.2894406e-05	+2.4010943e-05	+2.3944050e+00	-2.7593860e+00	+2.1724790e+01	+1.2163600e+02	+4.9951550e+01	-4.5448990e+01	
15	0	2	+3.8036090e-03	-9.3882852e-03	+6.3453062e-03	-4.0282647e-05	-6.0234767e-06	-2.2905521e-05	-1.2342850e+00	-3.9536280e+00	+5.8289300e+01	+1.2940330e+02	+1.1923890e+02	+3.3041950e+01	+3.6844618e-03	-9.1719063e-03	+1.8143612e-03	-1.4619095e-04	+1.7183217e-05	+6.1344027e-05	+2.3487440e+00	-2.7525590e+00	+2.1458910e+01	+1.2106180e+02	+4.9566380e+01	-4.5646350e+01	
16	0	0	+3.4668738e-03	-1.0109198e-02	+6.2195696e-03	-4.8643505e-05	+9.8559230e-06	-2.3414399e-05	-1.5265120e+00	-3.8715820e+00	+5.5509870e+01	+1.4654380e+02	+1.3307170e+02	+3.5398250e+01	+4.1006757e-03	-9.6557416e-03	+1.8147646e-03	-1.3154916e-04	+2.9332221e-05	+4.9205407e-05	+2.4257950e+00	-2.5783400e+00	+2.2790750e+01	+1.3900220e+02	+6.2200730e+01	-4.6384060e+01	
