LBCB 2	Fixed			Pin		
	X	Y	Z	X	Y	Z
Col2-X-Back	81.526	-32.956	-5.500	25.651	-32.643	-3.875
Col2-X-Front	76.776	31.669	-5.250	25.651	33.607	-3.875
Col2-Y	37.339	-45.581	-9.125	32.089	-1.143	-7.875
Col2-Z-Back	-33.911	-26.768	54.500	-32.599	-27.018	-4.500
Col2-Z-Front	-30.849	26.044	54.438	-32.286	26.607	-3.750
Col2-Z-Right	30.026	-0.893	50.563	31.339	-0.831	-5.125
